        MR        MRT         R2
 6.058E+02  5.163E+02  7.264E-01
 1.669E+03  4.931E+02  8.733E-02
 1.012E+03  5.394E+02  2.843E-01
 9.167E+02  4.792E+02  2.733E-01
 9.750E+02  5.355E+02  3.017E-01
 6.277E+02  2.013E+02  1.028E-01
 1.634E+03  4.779E+02  8.551E-02
 8.973E+02  3.633E+02  1.639E-01
 9.763E+02  6.507E+02  4.443E-01
 9.368E+02  4.339E+02  2.145E-01
 9.936E+02  2.738E+02  7.591E-02
 9.324E+02  2.802E+02  9.033E-02
 1.077E+03  5.925E+02  3.026E-01
 2.014E+03  5.026E+02  6.225E-02
 7.591E+02  3.331E+02  1.926E-01
 1.423E+03  5.537E+02  1.514E-01
 9.959E+02  6.944E+02  4.862E-01
 1.535E+03  5.294E+02  1.189E-01
 6.567E+02  2.572E+02  1.533E-01
 7.016E+02  4.166E+02  3.526E-01
 5.914E+02  4.020E+02  4.621E-01
 1.265E+03  7.154E+02  3.197E-01
 8.246E+02  8.033E+02  9.490E-01
 9.418E+02  2.864E+02  9.249E-02
 7.834E+02  7.059E+02  8.119E-01
 7.081E+02  4.542E+02  4.115E-01
 8.352E+02  4.512E+02  2.918E-01
 7.684E+02  5.154E+02  4.499E-01
 5.722E+02  1.888E+02  1.089E-01
 4.339E+02  3.861E+02  7.915E-01
 9.449E+02  1.984E+02  4.410E-02
 1.068E+03  6.520E+02  3.727E-01
 5.473E+02  3.696E+02  4.560E-01
 4.332E+02  2.570E+02  3.522E-01
 1.781E+03  3.731E+02  4.389E-02
 7.232E+02  5.668E+02  6.142E-01
 1.167E+03  5.012E+02  1.845E-01
 6.747E+02  5.034E+02  5.565E-01
 6.529E+02  5.025E+02  5.925E-01
 8.122E+02  4.869E+02  3.593E-01
 1.057E+03  5.122E+02  2.349E-01
 5.599E+02  3.401E+02  3.690E-01
 7.452E+02  4.994E+02  4.491E-01
 1.418E+03  1.071E+03  5.697E-01
 1.466E+03  6.620E+02  2.039E-01
 1.013E+03  4.529E+02  1.999E-01
 7.894E+02  2.327E+02  8.694E-02
 1.608E+03  6.399E+02  1.583E-01
 6.929E+02  5.589E+02  6.505E-01
 1.832E+03  6.180E+02  1.138E-01
 5.441E+02  2.758E+02  2.569E-01
 2.559E+03  3.447E+02  1.815E-02
 8.373E+02  5.949E+02  5.047E-01
 1.329E+03  3.215E+02  5.855E-02
 9.307E+02  4.715E+02  2.566E-01
 8.772E+02  4.519E+02  2.654E-01
 9.174E+02  1.703E+02  3.446E-02
 7.080E+02  1.492E+02  4.444E-02
 7.165E+02  5.884E+02  6.744E-01
 1.295E+03  4.160E+02  1.032E-01
 8.619E+02  2.277E+02  6.978E-02
 1.993E+03  8.748E+02  1.926E-01
 7.215E+02  5.713E+02  6.269E-01
 1.940E+03  6.926E+02  1.274E-01
 2.665E+03  5.984E+02  5.042E-02
 7.882E+02  3.825E+02  2.355E-01
 7.619E+02  6.794E+02  7.950E-01
 1.177E+03  9.308E+01  6.258E-03
 1.139E+03  4.150E+02  1.328E-01
 1.797E+03  5.516E+02  9.423E-02
 6.411E+02  1.718E+02  7.180E-02
 1.436E+03  4.785E+02  1.110E-01
 7.976E+02  3.586E+02  2.022E-01
 6.504E+02  4.910E+02  5.698E-01
 9.930E+02  4.310E+02  1.884E-01
 8.058E+02  3.493E+02  1.879E-01
 6.290E+02  3.769E+02  3.590E-01
 2.256E+03  7.725E+02  1.173E-01
 7.892E+02  2.455E+02  9.677E-02
 1.553E+03  2.496E+02  2.583E-02
 7.606E+02  3.498E+02  2.115E-01
 1.035E+03  2.465E+02  5.670E-02
 1.473E+03  4.263E+02  8.374E-02
 1.079E+03  6.728E+02  3.886E-01
 1.798E+03  4.481E+02  6.208E-02
 5.467E+02  3.952E+02  5.224E-01
 9.515E+02  5.763E+02  3.668E-01
 1.206E+03  2.531E+02  4.403E-02
 5.112E+02  4.122E+02  6.502E-01
 6.355E+02  3.924E+02  3.812E-01
 7.015E+02  2.840E+02  1.639E-01
 1.553E+03  5.798E+02  1.394E-01
 2.022E+03  8.179E+02  1.636E-01
